,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary
0,"September 17, 1908",1718,"Fort Myer, Virginia",Military - U.S. Army,?,Demonstration,Wright Flyer III,?,1,2,1,1,1,1,0,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
1,"September 07, 1909",?,"Juvisy-sur-Orge, France",?,?,Air show,Wright Byplane,SC1,?,1,0,1,1,0,0,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
2,"July 12, 1912",0630,"Atlantic City, New Jersey",Military - U.S. Navy,?,Test flight,Dirigible,?,?,5,0,5,5,0,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
3,"August 06, 1913",?,"Victoria, British Columbia, Canada",Private,?,?,Curtiss seaplane,?,?,1,0,1,1,0,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
4,"September 09, 1913",1830,Over the North Sea,Military - German Navy,?,?,Zeppelin L-1 (airship),?,?,20,?,?,14,?,?,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
5,"October 17, 1913",1030,"Near Johannisthal, Germany",Military - German Navy,?,?,Zeppelin L-2 (airship),?,?,28,?,?,28,?,?,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again."
6,"March 05, 1915",0100,"Tienen, Belgium",Military - German Navy,?,?,Zeppelin L-8 (airship),?,?,41,0,41,17,0,17,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
7,"September 03, 1915",1520,"Off Cuxhaven, Germany",Military - German Navy,?,?,Zeppelin L-10 (airship),?,?,19,?,?,19,?,?,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
8,"July 28, 1916",?,"Near Jambol, Bulgeria",Military - German Army,?,?,Schutte-Lanz S-L-10 (airship),?,?,20,?,?,20,?,?,0,"Crashed near the Black Sea, cause unknown."
9,"September 24, 1916",0100,"Billericay, England",Military - German Navy,?,?,Zeppelin L-32 (airship),?,?,22,?,?,22,?,?,0,Shot down by British aircraft crashing in flames.
10,"October 01, 1916",2345,"Potters Bar, England",Military - German Navy,?,?,Zeppelin L-31 (airship),?,?,19,0,19,19,0,19,0,Shot down in flames by the British 39th Home Defence Squadron.
11,"November 21, 1916",?,"Mainz, Germany",Military - German Army,?,?,Super Zeppelin (airship),?,?,28,?,?,27,?,?,0,Crashed in a storm.
12,"November 28, 1916",2345,"Off West Hartlepool, England",Military - German Navy,?,?,Zeppelin L-34 (airship),?,?,20,?,?,20,?,?,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
13,"March 04, 1917",?,"Near Gent, Belgium",Military - German Army,?,?,Airship,?,?,20,?,?,20,?,?,0,Caught fire and crashed.
14,"March 30, 1917",?,Off Northern Germany,Military - German Navy,?,?,Schutte-Lanz S-L-9 (airship),?,?,23,?,?,23,?,?,0,Struck by lightning and crashed into the Baltic Sea.
15,"May 14, 1917",0515,"Near Texel Island, North Sea",Military - German Navy,?,?,Zeppelin L-22 (airship),?,?,21,?,?,21,?,?,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
16,"June 14, 1917",0845,"Off Vlieland Island, North Sea",Military - German Navy,?,?,Zeppelin L-43 (airship),?,?,24,?,?,24,?,?,0,Shot down by British aircraft.
17,"June 17, 1917",?,"Near Yarmouth, England",?,?,?,Zepplin L-48 (air ship),L-48,?,16,?,?,14,?,?,0,Shot down by aircraft.
18,"August 21, 1917",0700,Off western Denmark,Military - German Navy,?,?,Zeppelin L-23 (airship),?,?,18,?,?,18,?,?,0,Shot down by British aircraft.
19,"October 20, 1917",0745,"Near Luneville, France",Military - German Navy,?,?,Zeppelin L-44 (airship),?,?,18,?,?,18,?,?,0,Shot down by French anti-aircraft fire.
20,"April 07, 1918",2130,Over the Mediterranean,Military - German Navy,?,?,Zeppelin L-59 (airship),?,?,23,?,?,23,?,?,0,Exploded and crashed into the sea off the southern coast of Italy.
21,"August 05, 1918",?,"Off Helgoland Island, Germany",Military - German Navy,?,?,Zeppelin L-70 (airship),?,?,22,?,?,22,?,?,0,"Shot down by British aircraft crashing from a height of 17,000 ft."
22,"August 11, 1918",1000,"Ameland Island, North Sea",Military - German Navy,?,?,Zeppelin L-53 (airship),?,?,19,?,?,19,?,?,0,Shot down by british aircraft.
23,"December 16, 1918",?,"Elizabeth, New Jersey",US Aerial Mail Service,?,?,De Havilland DH-4,97,?,1,0,1,1,0,1,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
24,"May 25, 1919",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,61,?,1,0,1,1,0,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
25,"July 19, 1919",?,"Dix Run, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,82,?,1,0,1,1,0,1,0,The mail plane crashed under unknown circumstances.
26,"July 21, 1919",1655,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,?,Shuttle,FD Type Dirigible,?,?,?,?,?,3,2,1,10,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
27,"August 02, 1919",?,"Verona, Italy",Caproni Company,?,Venice  Taliedo,Caproni Ca.48,?,?,14,12,2,14,12,2,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
28,"October 02, 1919",?,"Newcastle, England",Aircraft Transport and Travel,?,?,De Havilland DH-4,?,?,1,0,1,1,0,1,0,?
29,"October 14, 1919",?,"Cantonsville, Maryland",US Aerial Mail Service,?,?,Curtiss R-4LM,32,?,1,0,1,1,0,1,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
30,"October 20, 1919",?,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,?,?,De Havilland DH-4,G-EAHG,?,0,0,1,0,0,0,0,Crashed into the sea while attempting to land in fog.
31,"October 30, 1919",?,"Long Valley, New Jersey",US Aerial Mail Service,?,?,De Havilland DH.4,77,77,1,0,1,1,0,1,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
32,"December 11, 1919",?,"Catherham, Surrey, UK",Aircraft Travel Transport,?,Paris - Hounslow,de Havilland DH-4,G-EAHF,?,1,1,1,1,1,1,0,Crashed in a field while attemptting to land.
33,"March 10, 1920",?,"New Paris, Indiana",US Aerial Mail Service,?,?,De Havilland DH-4,65,?,1,0,1,1,0,1,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
34,"March 30, 1920",?,"Newark, New Jersey",US Aerial Mail Service,?,Washington - Newark,De Havilland DH-4,72,?,1,0,1,1,0,1,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
